surveycode,factor,varname,label,qraw,demographic,in_loop,in_report,,,,,
tch-ms,m_ts_askexpl,m_sum_met,How often does your teacher ask students to explain more about answers they give?,,,1,1,,,,,
tch-ms,m_ts_explain,m_sum_met,How often does your teacher want you to explain your answers - why you think what you think?,,,1,1,,,,,
tch-ms,m_ts_askqns,m_sum_met,How often does your teacher ask questions to be sure that you and your classmates are following along when (s)he is teaching?,,,1,1,,,,,
tch-ms,m_ts_tryexp,m_sum_met,"If someone doesn't understand something, how often does your teacher explain it another way?",,,1,1,,,,,
tch-ms,m_ts_correct,m_sum_met,"In this class, how much have you learned to correct your mistakes?",,,1,1,,,,,
tch-ms,m_ts_fair,m_sum_rel,How fair is your teacher?,,,1,1,,,,,
tch-ms,m_ts_adultresp,m_sum_rel,How respectful is your teacher to students in this class?,,,1,1,,,,,
tch-ms,m_ts_believe,m_sum_rel,How much does your teacher believe that you can get a good grade if you try?,,,1,1,,,,,
tch-ms,m_ts_extra,m_sum_rel,How willing is your teacher to give extra help on school work if you need it?,,,1,1,,,,,
tch-ms,m_ts_discipline,m_sum_rel,How fair is discipline in this class?,,,1,1,,,,,
tch-ms,m_ts_bevwants,m_sum_env,How many of your classmates behave the way your teacher wants them to?,,,1,1,,,,,
tch-ms,m_ts_bevcontrol,m_sum_env,How under control is student behavior in this classroom?,,,1,1,,,,,
tch-ms,m_ts_studresp,m_sum_env,How respectful are students to the teacher in this class?,,,1,1,,,,,
tch-ms,m_ts_classbusy,m_sum_env,How often does your class stay busy and not waste time?,,,1,1,,,,,
tch-ms,m_ts_dowell,m_sum_env,How many students in this class want to do well?,,,1,1,,,,,
