surveycode,varname,qraw
sch-hs,prep_steps_col,prep_steps_col_cb
sch-hs,prep_steps_col,prep_steps_col
sch-hs,r_qualoth,race_6_TEXT
sch-hs,rel_connec,rel_connec_cb
sch-hs,rel_connec,rel_connec
sch-hs,rel_help,rel_help_cb
sch-hs,rel_help,rel_help
sch-hs,rel_persprob,rel_persprob_cb
sch-hs,rel_persprob,rel_persprob
sch-hs,rel_write,rel_write_cb
sch-hs,rel_write,rel_write
sch-hs,rig_correct,rig_correct_cb
sch-hs,rig_correct,rig_correct
sch-hs,rig_explain,rig_explain_cb
sch-hs,rig_explain,rig_explain
sch-hs,rig_learnlot,rig_learnlot_cb
sch-hs,rig_learnlot,rig_learnlot
sch-hs,rig_nogiveup,rig_nogiveup_cb
sch-hs,rig_nogiveup,rig_nogiveup
sch-hs,rig_nomem,rig_nomem_cb
sch-hs,rig_nomem,rig_nomem
sch-hs,rig_teachassign,rig_teachassign_cb
sch-hs,rig_teachassign,rig_teachassign
sch-hs,rig_teachassign_eng,rig_teachassign_eng_cb
sch-hs,rig_teachassign_eng,rig_teachassign_eng
sch-hs,rig_teachassign_math,rig_teachassign_math_cb
sch-hs,rig_teachassign_math,rig_teachassign_math
sch-hs,rig_teachundr,rig_teachundr_cb
sch-hs,rig_teachundr,rig_teachundr
sch-hs,rig_teachundr_eng,rig_teachundr_eng_cb
sch-hs,rig_teachundr_eng,rig_teachundr_eng
sch-hs,rig_teachundr_math,rig_teachundr_math_cb
sch-hs,rig_teachundr_math,rig_teachundr_math
sch-hs,rig_think,rig_think_cb
sch-hs,rig_think,rig_think
sch-hs,rig_think_eng,rig_think_eng_cb
sch-hs,rig_think_eng,rig_think_eng
sch-hs,rig_think_math,rig_think_math_cb
sch-hs,rig_think_math,rig_think_math
sch-hs,rig_workhard,rig_workhard_cb
sch-hs,rig_workhard,rig_workhard
sch-hs,rig_workhard_eng,rig_workhard_eng_cb
sch-hs,rig_workhard_eng,rig_workhard_eng
sch-hs,rig_workhard_math,rig_workhard_math_cb
sch-hs,rig_workhard_math,rig_workhard_math
sch-hs,srgrades,srgrades
sch-hs,stem_instem_in_qualoth,stem_instem_in_other_TEXT
sch-hs,stem_outstem_out_qualoth,stem_outstem_out_other_TEXT
sch-hs,sup_admissions,sup_admissions_cb
sch-hs,sup_admissions,sup_admissions
sch-hs,sup_advisory,sup_adviso
sch-hs,sup_advisory,sup_adviso_cb
sch-hs,sup_aftertutor,sup_aftertutor_cb
sch-hs,sup_aftertutor,sup_aftertutor
sch-hs,sup_career,sup_career_cb
sch-hs,sup_career,sup_career
sch-hs,sup_choosegrad,sup_choosegrad_cb
sch-hs,sup_choosegrad,sup_choosegrad
sch-hs,sup_class,sup_class_cb
sch-hs,sup_class,sup_class
sch-hs,sup_collegeapply,sup_collegeapply_cb
sch-hs,sup_collegeapply,sup_collegeapply
sch-hs,sup_collegepay,sup_collegepay_cb
sch-hs,sup_collegepay,sup_collegepay
sch-hs,sup_examprep,sup_examprep_cb
sch-hs,sup_examprep,sup_examprep
sch-hs,sup_makeup,sup_makeup_cb
sch-hs,sup_makeup,sup_makeup
sch-hs,sup_onetutor,sup_onetutor_cb
sch-hs,sup_onetutor,sup_onetutor
sch-hs,suph_admissions,suph_admissions_cb
sch-hs,suph_admissions,suph_admissions
sch-hs,suph_advisory,suph_advisory_cb
sch-hs,suph_advisory,suph_advisory
sch-hs,suph_aftertutor,suph_aftertutor_cb
sch-hs,suph_aftertutor,suph_aftertutor
sch-hs,suph_career,suph_career_cb
sch-hs,suph_career,suph_career
sch-hs,suph_choosegrad,suph_choosegrad_cb
sch-hs,suph_choosegrad,suph_choosegrad
sch-hs,suph_class,suph_class_cb
sch-hs,suph_class,suph_class
sch-hs,suph_collegeapply,suph_collegeapply_cb
sch-hs,suph_collegeapply,suph_collegeapply
sch-hs,suph_collegepay,suph_collegepay_cb
sch-hs,suph_collegepay,suph_collegepay
sch-hs,suph_examprep,suph_examprep_cb
sch-hs,suph_examprep,suph_examprep
sch-hs,suph_makeup,suph_makeup_cb
sch-hs,suph_makeup,suph_makeup
sch-hs,suph_onetutor,suph_onetutor_cb
sch-hs,suph_onetutor,suph_onetutor
sch-hs,surveylen,surveylen_1
sch-hs,surveylen,surveylnES_1
sch-hs,trydobest,trydobest_cb
sch-hs,trydobest,trydobest
sch-hs,un_disabil,bully3_10
sch-hs,un_finance,bully3_9
sch-hs,un_from,bully3_3
sch-hs,un_gender,bully3_1
sch-hs,un_look,bully3_6
sch-hs,un_orient,bully3_8
sch-hs,un_other,bully3_11
sch-hs,un_prefer,bully3_12
sch-hs,un_qualoth,bully3_11_TEXT
sch-hs,un_race,bully3_2
sch-hs,un_religion,bully3_7
sch-hs,white_r,race_1
sch-hs,whydrop_behind,whydrop_6
sch-hs,whydrop_cared,whydrop_3
sch-hs,whydrop_discouraged,whydrop_10
sch-hs,whydrop_failed,whydrop_5
sch-hs,whydrop_helplife,whydrop_4
sch-hs,whydrop_other,whydrop_11
sch-hs,whydrop_personal,whydrop_8
sch-hs,whydrop_qualoth,whydrop_11_TEXT
sch-hs,whydrop_safe,whydrop_1
sch-hs,whydrop_safeto,whydrop_2
sch-hs,whydrop_students,whydrop_9
sch-hs,whydrop_work,whydrop_7
sch-hs,year,year
sch-hs,year_qualoth,year_TEXT
sch-hs,ls_read,ls_read
sch-hs,ls_teachtalk,ls_teachtalk
sch-hs,ls_handson,ls_handson
sch-hs,ls_workpeer,ls_workpeer
sch-hs,ls_notes,ls_notes
sch-hs,ls_spoken,ls_spoken
sch-hs,ls_make,ls_make
sch-hs,ls_discuss,ls_discuss
sch-hs,ls_teachundr,ls_teachundr
sch-hs,ls_teach,ls_teach
sch-hs,pbl_issues_oth,pbl_issues_oth
sch-hs,pbl_issues_tch,pbl_issues_tch
sch-hs,pbl_design,pbl_design
sch-hs,pbl_revise_oth,pbl_revise_oth
sch-hs,pbl_revise_tch,pbl_revise_tch
sch-hs,pbl_present,pbl_present
